C:\Unnamed\dir0\pngs\0331-0.png,818381c1c1e0ffff
C:\Unnamed\dir0\pngs\0331-1.png,81c08dc1c1fdffc1
C:\Unnamed\dir0\pngs\0331-2.png,91c089c5c1edffc1
C:\Unnamed\dir0\pngs\0385-0.png,a1c189cbe104f8ff
C:\Unnamed\dir0\pngs\0385-1.png,a1c18dc9c1e1ffc1
C:\Unnamed\dir0\pngs\0388-0.png,e7c1c5e1e58080ff
C:\Unnamed\dir0\pngs\0388-1.png,81c08de8c9e5ffc1
C:\Unnamed\dir0\pngs\0388-10.png,88c8eebfbf296500
C:\Unnamed\dir0\pngs\0388-11.png,c8cefecc9cd9c500
C:\Unnamed\dir0\pngs\0388-2.png,e380808080f7ffff
C:\Unnamed\dir0\pngs\0388-3.png,edc1c1c181f9ff80
C:\Unnamed\dir0\pngs\0388-4.png,cfc080c0fefefe00
C:\Unnamed\dir0\pngs\0388-5.png,d7c3a787f1c7c080
C:\Unnamed\dir0\pngs\0388-6.png,8d9de1f1e0c2fe02
C:\Unnamed\dir0\pngs\0388-7.png,ffc181c0f8f8fe00
C:\Unnamed\dir0\pngs\0388-8.png,cf8f8f8e8e8e8e00
C:\Unnamed\dir0\pngs\0388-9.png,d89e869e9e9e9e00
C:\Unnamed\dir0\pngs\0392-0.png,e7c1c5e1e58080ff
C:\Unnamed\dir0\pngs\0392-1.png,81c08de9c9e5fdc1
C:\Unnamed\dir0\pngs\0392-2.png,81c1810180dfffff
